Time	CH1	Time	CH2
3.280000E-1	2.640169E-2	0.000000E+0	0.000000E+0
3.282000E-1	2.340150E-2	0.000000E+0	0.000000E+0
3.284000E-1	2.240143E-2	0.000000E+0	0.000000E+0
3.286000E-1	2.500160E-2	0.000000E+0	0.000000E+0
3.288000E-1	2.540163E-2	0.000000E+0	0.000000E+0
3.290000E-1	2.500160E-2	0.000000E+0	0.000000E+0
3.292000E-1	2.460157E-2	0.000000E+0	0.000000E+0
3.294000E-1	2.540163E-2	0.000000E+0	0.000000E+0
3.296000E-1	2.380152E-2	0.000000E+0	0.000000E+0
3.298000E-1	2.560164E-2	0.000000E+0	0.000000E+0
3.300000E-1	2.600166E-2	0.000000E+0	0.000000E+0
3.302000E-1	2.580165E-2	0.000000E+0	0.000000E+0
3.304000E-1	2.060132E-2	0.000000E+0	0.000000E+0
3.306000E-1	2.380152E-2	0.000000E+0	0.000000E+0
3.308000E-1	2.780178E-2	0.000000E+0	0.000000E+0
3.310000E-1	2.640169E-2	0.000000E+0	0.000000E+0
3.312000E-1	2.560164E-2	0.000000E+0	0.000000E+0
3.314000E-1	2.220142E-2	0.000000E+0	0.000000E+0
3.316000E-1	2.400154E-2	0.000000E+0	0.000000E+0
3.318000E-1	2.520161E-2	0.000000E+0	0.000000E+0
3.320000E-1	2.220142E-2	0.000000E+0	0.000000E+0
3.322000E-1	2.240143E-2	0.000000E+0	0.000000E+0
3.324000E-1	2.300147E-2	0.000000E+0	0.000000E+0
3.326000E-1	2.600166E-2	0.000000E+0	0.000000E+0
3.328000E-1	2.460157E-2	0.000000E+0	0.000000E+0
3.330000E-1	2.700173E-2	0.000000E+0	0.000000E+0
3.332000E-1	2.460157E-2	0.000000E+0	0.000000E+0
3.334000E-1	2.440156E-2	0.000000E+0	0.000000E+0
3.336000E-1	2.500160E-2	0.000000E+0	0.000000E+0
3.338000E-1	2.380152E-2	0.000000E+0	0.000000E+0
3.340000E-1	2.440156E-2	0.000000E+0	0.000000E+0
3.342000E-1	2.580165E-2	0.000000E+0	0.000000E+0
3.344000E-1	2.260145E-2	0.000000E+0	0.000000E+0
3.346000E-1	2.460157E-2	0.000000E+0	0.000000E+0
3.348000E-1	2.440156E-2	0.000000E+0	0.000000E+0
3.350000E-1	2.660170E-2	0.000000E+0	0.000000E+0
3.352000E-1	2.400154E-2	0.000000E+0	0.000000E+0
3.354000E-1	2.100134E-2	0.000000E+0	0.000000E+0
3.356000E-1	2.220142E-2	0.000000E+0	0.000000E+0
3.358000E-1	2.460157E-2	0.000000E+0	0.000000E+0
3.360000E-1	2.520161E-2	0.000000E+0	0.000000E+0
3.362000E-1	2.360151E-2	0.000000E+0	0.000000E+0
3.364000E-1	2.440156E-2	0.000000E+0	0.000000E+0
3.366000E-1	2.440156E-2	0.000000E+0	0.000000E+0
3.368000E-1	2.540163E-2	0.000000E+0	0.000000E+0
3.370000E-1	2.300147E-2	0.000000E+0	0.000000E+0
3.372000E-1	2.380152E-2	0.000000E+0	0.000000E+0
3.374000E-1	2.300147E-2	0.000000E+0	0.000000E+0
3.376000E-1	2.320148E-2	0.000000E+0	0.000000E+0
3.378000E-1	2.500160E-2	0.000000E+0	0.000000E+0
3.380000E-1	2.480159E-2	0.000000E+0	0.000000E+0
3.382000E-1	2.240143E-2	0.000000E+0	0.000000E+0
