 A	B	S	PROB(CHISQ>X)_in_%
   10.0000000       0.00000000       798.637817                  NaN
   10.0000000       1.00000000       1354.72864                  NaN
   10.0000000       2.00000000       1695.27649                  NaN
   10.0000000       3.00000000       1482.99011                  NaN
   10.0000000       4.00000000       967.136353                  NaN
   10.0000000       5.00000000       601.161621                  NaN
   10.0000000       6.00000000       684.784241                  NaN
   11.0000000       0.00000000       793.130798                  NaN
   11.0000000       1.00000000       1406.78357                  NaN
   11.0000000       2.00000000       1782.77673                  NaN
   11.0000000       3.00000000       1546.15149                  NaN
   11.0000000       4.00000000       979.910339                  NaN
   11.0000000       5.00000000       579.451782                  NaN
   11.0000000       6.00000000       668.479431                  NaN
   12.0000000       0.00000000       790.046509                  NaN
   12.0000000       1.00000000       1461.61597                  NaN
   12.0000000       2.00000000       1873.30823                  NaN
   12.0000000       3.00000000       1611.77820                  NaN
   12.0000000       4.00000000       995.367188                  NaN
   12.0000000       5.00000000       560.809082                  NaN
   12.0000000       6.00000000       654.704468                  NaN
   13.0000000       0.00000000       789.384766                  NaN
   13.0000000       1.00000000       1519.22620                  NaN
   13.0000000       2.00000000       1966.87024                  NaN
   13.0000000       3.00000000       1679.87024                  NaN
   13.0000000       4.00000000       1013.50665                  NaN
   13.0000000       5.00000000       545.233459                  NaN
   13.0000000       6.00000000       643.459106                  NaN
   14.0000000       0.00000000       791.145935                  NaN
   14.0000000       1.00000000       1579.61389                  NaN
   14.0000000       2.00000000       2063.46289                  NaN
   14.0000000       3.00000000       1750.42664                  NaN
   14.0000000       4.00000000       1034.32910                  NaN
   14.0000000       5.00000000       532.725037                  NaN
   14.0000000       6.00000000       634.743225                  NaN
   15.0000000       0.00000000       795.329712                  NaN
   15.0000000       1.00000000       1642.77966                  NaN
   15.0000000       2.00000000       2163.08594                  NaN
   15.0000000       3.00000000       1823.44885                  NaN
   15.0000000       4.00000000       1057.83447                  NaN
   15.0000000       5.00000000       523.283813                  NaN
   15.0000000       6.00000000       628.556702                  NaN
   16.0000000       0.00000000       801.936035                  NaN
   16.0000000       1.00000000       1708.72290                  NaN
   16.0000000       2.00000000       2265.73999                  NaN
   16.0000000       3.00000000       1898.93579                  NaN
   16.0000000       4.00000000       1084.02271                  NaN
   16.0000000       5.00000000       516.909607                  NaN
   16.0000000       6.00000000       624.899963                  NaN
   17.0000000       0.00000000       810.965149                  NaN
   17.0000000       1.00000000       1777.44397                  NaN
   17.0000000       2.00000000       2371.42505                  NaN
   17.0000000       3.00000000       1976.88806                  NaN
   17.0000000       4.00000000       1112.89380                  NaN
   17.0000000       5.00000000       513.602783                  NaN
   17.0000000       6.00000000       623.772644                  NaN
   18.0000000       0.00000000       822.417053                  NaN
   18.0000000       1.00000000       1848.94275                  NaN
   18.0000000       2.00000000       2480.13965                  NaN
   18.0000000       3.00000000       2057.30493                  NaN
   18.0000000       4.00000000       1144.44775                  NaN
   18.0000000       5.00000000       513.362915                  NaN
   18.0000000       6.00000000       625.174866                  NaN
   19.0000000       0.00000000       836.291382                  NaN
   19.0000000       1.00000000       1923.21887                  NaN
   19.0000000       2.00000000       2591.88550                  NaN
   19.0000000       3.00000000       2140.18726                  NaN
   19.0000000       4.00000000       1178.68445                  NaN
   19.0000000       5.00000000       516.190308                  NaN
   19.0000000       6.00000000       629.106750                  NaN
   20.0000000       0.00000000       852.588379                  NaN
   20.0000000       1.00000000       2000.27283                  NaN
   20.0000000       2.00000000       2706.66235                  NaN
   20.0000000       3.00000000       2225.53467                  NaN
   20.0000000       4.00000000       1215.60400                  NaN
   20.0000000       5.00000000       522.084961                  NaN
   20.0000000       6.00000000       635.568054                  NaN
   21.0000000       0.00000000       871.308228                  NaN
   21.0000000       1.00000000       2080.10498                  NaN
   21.0000000       2.00000000       2824.46899                  NaN
   21.0000000       3.00000000       2313.34766                  NaN
   21.0000000       4.00000000       1255.20630                  NaN
   21.0000000       5.00000000       531.046570                  NaN
   21.0000000       6.00000000       644.558960                  NaN
   22.0000000       0.00000000       892.450684                  NaN
   22.0000000       1.00000000       2162.71411                  NaN
   22.0000000       2.00000000       2945.30713                  NaN
   22.0000000       3.00000000       2403.62500                  NaN
   22.0000000       4.00000000       1297.49182                  NaN
   22.0000000       5.00000000       543.075439                  NaN
