 A	B	S	PROB(CHISQ>X)_in_%
   22.0000000       6.00000000       656.079529                  NaN
   23.0000000       0.00000000       916.015869                  NaN
   23.0000000       1.00000000       2248.10181                  NaN
   23.0000000       2.00000000       3069.17529                  NaN
   23.0000000       3.00000000       2496.36792                  NaN
   23.0000000       4.00000000       1342.46008                  NaN
   23.0000000       5.00000000       558.171570                  NaN
   23.0000000       6.00000000       670.129456                  NaN
   24.0000000       0.00000000       942.003784                  NaN
   24.0000000       1.00000000       2336.26636                  NaN
   24.0000000       2.00000000       3196.07422                  NaN
   24.0000000       3.00000000       2591.57568                  NaN
   24.0000000       4.00000000       1390.11096                  NaN
   24.0000000       5.00000000       576.334778                  NaN
   24.0000000       6.00000000       686.709167                  NaN
   25.0000000       0.00000000       970.414307                  NaN
   25.0000000       1.00000000       2427.20898                  NaN
   25.0000000       2.00000000       3326.00391                  NaN
   25.0000000       3.00000000       2689.24878                  NaN
   25.0000000       4.00000000       1440.44470                  NaN
   25.0000000       5.00000000       597.565125                  NaN
   25.0000000       6.00000000       705.818237                  NaN
   26.0000000       0.00000000       1001.24750                  NaN
   26.0000000       1.00000000       2520.92920                  NaN
   26.0000000       2.00000000       3458.96460                  NaN
   26.0000000       3.00000000       2789.38623                  NaN
   26.0000000       4.00000000       1493.46179                  NaN
   26.0000000       5.00000000       621.862610                  NaN
   26.0000000       6.00000000       727.456848                  NaN
   27.0000000       0.00000000       1034.50342                  NaN
   27.0000000       1.00000000       2617.42773                  NaN
   27.0000000       2.00000000       3594.95557                  NaN
   27.0000000       3.00000000       2891.98926                  NaN
   27.0000000       4.00000000       1549.16150                  NaN
   27.0000000       5.00000000       649.227478                  NaN
   27.0000000       6.00000000       751.625000                  NaN
   28.0000000       0.00000000       1070.18201                  NaN
   28.0000000       1.00000000       2716.70312                  NaN
   28.0000000       2.00000000       3733.97656                  NaN
   28.0000000       3.00000000       2997.05786                  NaN
   28.0000000       4.00000000       1607.54370                  NaN
   28.0000000       5.00000000       679.659302                  NaN
   28.0000000       6.00000000       778.322632                  NaN
   29.0000000       0.00000000       1108.28320                  NaN
   29.0000000       1.00000000       2818.75610                  NaN
   29.0000000       2.00000000       3876.02979                  NaN
   29.0000000       3.00000000       3104.59155                  NaN
   29.0000000       4.00000000       1668.60901                  NaN
   29.0000000       5.00000000       713.158325                  NaN
   29.0000000       6.00000000       807.550110                  NaN
   30.0000000       0.00000000       1148.80688                  NaN
   30.0000000       1.00000000       2923.58740                  NaN
   30.0000000       2.00000000       4021.11182                  NaN
   30.0000000       3.00000000       3214.58936                  NaN
   30.0000000       4.00000000       1732.35730                  NaN
   30.0000000       5.00000000       749.724548                  NaN
   30.0000000       6.00000000       839.306946                  NaN
   31.0000000       0.00000000       1191.75366                  NaN
   31.0000000       1.00000000       3031.19580                  NaN
   31.0000000       2.00000000       4169.22607                  NaN
   31.0000000       3.00000000       3327.05273                  NaN
   31.0000000       4.00000000       1798.78845                  NaN
   31.0000000       5.00000000       789.357849                  NaN
   31.0000000       6.00000000       873.593384                  NaN
   32.0000000       0.00000000       1237.12292                  NaN
   32.0000000       1.00000000       3141.58252                  NaN
   32.0000000       2.00000000       4320.37012                  NaN
   32.0000000       3.00000000       3441.98193                  NaN
   32.0000000       4.00000000       1867.90210                  NaN
   32.0000000       5.00000000       832.058472                  NaN
   32.0000000       6.00000000       910.409302                  NaN
   33.0000000       0.00000000       1284.91479                  NaN
   33.0000000       1.00000000       3254.74731                  NaN
   33.0000000       2.00000000       4474.54492                  NaN
   33.0000000       3.00000000       3559.37573                  NaN
   33.0000000       4.00000000       1939.69873                  NaN
   33.0000000       5.00000000       877.826111                  NaN
   33.0000000       6.00000000       949.754700                  NaN
   34.0000000       0.00000000       1335.12976                  NaN
   34.0000000       1.00000000       3370.68896                  NaN
   34.0000000       2.00000000       4631.75049                  NaN
   34.0000000       3.00000000       3679.23340                  NaN
   34.0000000       4.00000000       2014.17859                  NaN
   34.0000000       5.00000000       926.660950                  NaN
   34.0000000       6.00000000       991.629700                  NaN
   35.0000000       0.00000000       1387.76648                  NaN
   35.0000000       1.00000000       3489.40820                  NaN
   35.0000000       2.00000000       4791.98682                  NaN
   35.0000000       3.00000000       3801.55786                  NaN
   35.0000000       4.00000000       2091.34131                  NaN
   35.0000000       5.00000000       978.562866                  NaN
   35.0000000       6.00000000       1036.03418                  NaN
   36.0000000       0.00000000       1442.82666                  NaN
   36.0000000       1.00000000       3610.90527                  NaN
   36.0000000       2.00000000       4955.25293                  NaN
   36.0000000       3.00000000       3926.34717                  NaN
   36.0000000       4.00000000       2171.18652                  NaN
   36.0000000       5.00000000       1033.53210                  NaN
   36.0000000       6.00000000       1082.96814                  NaN
   37.0000000       0.00000000       1500.30945                  NaN
   37.0000000       1.00000000       3735.18115                  NaN
   37.0000000       2.00000000       5121.55127                  NaN
   37.0000000       3.00000000       4053.60132                  NaN
   37.0000000       4.00000000       2253.71484                  NaN
   37.0000000       5.00000000       1091.56848                  NaN
   37.0000000       6.00000000       1132.43213                  NaN
   38.0000000       0.00000000       1560.21460                  NaN
   38.0000000       1.00000000       3862.23413                  NaN
   38.0000000       2.00000000       5290.87842                  NaN
   38.0000000       3.00000000       4183.31982                  NaN
   38.0000000       4.00000000       2338.92554                  NaN
   38.0000000       5.00000000       1152.67200                  NaN
   38.0000000       6.00000000       1184.42542                  NaN
   39.0000000       0.00000000       1622.54297                  NaN
   39.0000000       1.00000000       3992.06445                  NaN
   39.0000000       2.00000000       5463.23779                  NaN
   39.0000000       3.00000000       4315.50391                  NaN
   39.0000000       4.00000000       2426.81958                  NaN
   39.0000000       5.00000000       1216.84290                  NaN
   39.0000000       6.00000000       1238.94812                  NaN
   40.0000000       0.00000000       1687.29333                  NaN
   40.0000000       1.00000000       4124.67236                  NaN
   40.0000000       2.00000000       5638.62695                  NaN
   40.0000000       3.00000000       4450.15430                  NaN
   40.0000000       4.00000000       2517.39673                  NaN
   40.0000000       5.00000000       1284.08057                  NaN
   40.0000000       6.00000000       1296.00049                  NaN
