ACT	Testtype		Diag							
Date			12/15/15							
JuEl	ACT Reading		27							
Date			12/15/15							
JuEl	ACT Science		21							
Date			12/15/15							
NiHa	ACT Math		32							
Date			7/30/16							
NiHa	ACT Reading		30							
Date			7/30/16							
NiHa	ACT Science		28							
Date			7/30/16							
PhHi	Math 2		710							
Date			7/12/16							
PhHi	History		680							
Date			7/12/16							
JaKu	ACT English		31							
Date			7/15/16							
JaKu	ACT Math		29							
Date			7/15/16							
JaKu	ACT Reading		31							
Date			7/15/16							
JaKu	ACT Science		33							
Date			7/15/16							
